"date_de_deces";"deces_totaux";"deces_covid_confirme";"deces_covid_suspecte";"cumul_deces_covid_confirme";"cumul_deces_covid_suspecte"
2020-03-01;1754;0;0;0;0
2020-03-02;1770;0;0;0;0
2020-03-03;1753;4;0;4;0
2020-03-04;1804;4;0;8;0
2020-03-05;1753;4;0;12;0
2020-03-06;1816;3;2;15;2
2020-03-07;1657;8;1;23;3
2020-03-08;1695;8;4;31;7
2020-03-09;1809;12;3;43;10
2020-03-10;1809;7;6;50;16
2020-03-11;1879;23;2;73;18
2020-03-12;1751;30;6;103;24
2020-03-13;1737;30;7;133;31
2020-03-14;1742;46;14;179;45
2020-03-15;1821;77;23;256;68
2020-03-16;1951;79;31;335;99
2020-03-17;2005;91;40;426;139
2020-03-18;1957;123;43;549;182
2020-03-19;2064;127;68;676;250
2020-03-20;1994;171;65;847;315
2020-03-21;1898;194;80;1041;395
2020-03-22;1954;243;107;1284;502
2020-03-23;2108;309;134;1593;636
2020-03-24;2111;341;133;1934;769
2020-03-25;2256;408;152;2342;921
2020-03-26;2319;457;189;2799;1110
2020-03-27;2344;525;194;3324;1304
2020-03-28;2473;587;205;3911;1509
2020-03-29;2311;551;195;4462;1704
2020-03-30;2595;655;247;5117;1951
2020-03-31;2670;702;239;5819;2190
2020-04-01;2711;747;233;6566;2423
2020-04-02;2582;731;244;7297;2667
2020-04-03;2678;786;268;8083;2935
2020-04-04;2601;707;276;8790;3211
2020-04-05;2564;734;316;9524;3527
2020-04-06;2616;742;275;10266;3802
2020-04-07;2554;694;282;10960;4084
2020-04-08;2509;651;248;11611;4332
2020-04-09;2413;697;259;12308;4591
2020-04-10;2503;718;224;13026;4815
2020-04-11;2350;661;224;13687;5039
2020-04-12;2194;596;179;14283;5218
2020-04-13;2272;627;204;14910;5422
2020-04-14;2269;588;197;15498;5619
2020-04-15;2171;551;171;16049;5790
2020-04-16;2095;526;162;16575;5952
2020-04-17;2219;595;166;17170;6118
2020-04-18;2070;528;141;17698;6259
2020-04-19;1946;464;132;18162;6391
2020-04-20;1838;441;112;18603;6503
2020-04-21;1864;418;101;19021;6604
2020-04-22;1831;394;109;19415;6713
2020-04-23;1823;371;98;19786;6811
2020-04-24;1794;386;82;20172;6893
2020-04-25;1779;328;83;20500;6976
2020-04-26;1664;317;55;20817;7031
2020-04-27;1636;310;64;21127;7095
2020-04-28;1698;278;67;21405;7162
2020-04-29;1648;279;72;21684;7234
2020-04-30;1573;223;60;21907;7294
2020-05-01;1488;201;47;22108;7341
2020-05-02;1561;220;49;22328;7390
2020-05-03;1533;215;50;22543;7440
2020-05-04;1658;235;52;22778;7492
2020-05-05;1608;201;37;22979;7529
2020-05-06;1575;193;50;23172;7579
2020-05-07;1557;161;38;23333;7617
2020-05-08;1540;159;39;23492;7656
2020-05-09;1502;149;46;23641;7702
2020-05-10;1532;143;44;23784;7746
2020-05-11;1493;139;46;23923;7792
2020-05-12;1531;144;27;24067;7819
2020-05-13;1569;127;29;24194;7848
2020-05-14;1519;110;32;24304;7880
2020-05-15;1603;135;26;24439;7906
2020-05-16;1537;119;34;24558;7940
2020-05-17;1489;102;29;24660;7969
2020-05-18;1579;105;37;24765;8006
2020-05-19;1659;107;33;24872;8039
2020-05-20;1650;99;20;24971;8059
2020-05-21;1692;115;23;25086;8082
2020-05-22;1651;104;25;25190;8107
2020-05-23;1544;78;17;25268;8124
2020-05-24;1342;57;19;25325;8143
2020-05-25;1488;83;14;25408;8157
2020-05-26;1534;65;26;25473;8183
2020-05-27;1480;77;13;25550;8196
2020-05-28;1566;67;19;25617;8215
2020-05-29;1507;66;14;25683;8229
2020-05-30;1441;65;13;25748;8242
2020-05-31;1432;67;14;25815;8256
2020-06-01;1501;49;4;25864;8260
2020-06-02;1547;67;12;25931;8272
2020-06-03;1507;48;11;25979;8283
2020-06-04;1553;47;14;26026;8297
2020-06-05;1429;44;12;26070;8309
2020-06-06;1518;44;4;26114;8313
2020-06-07;1341;40;11;26154;8324
2020-06-08;1412;34;6;26188;8330
2020-06-09;1510;43;7;26231;8337
2020-06-10;1468;22;4;26253;8341
2020-06-11;1548;36;6;26289;8347
2020-06-12;1494;44;9;26333;8356
2020-06-13;1496;32;3;26365;8359
2020-06-14;1464;29;4;26394;8363
2020-06-15;1501;32;2;26426;8365
2020-06-16;1527;33;3;26459;8368
2020-06-17;1447;25;5;26484;8373
2020-06-18;1500;21;5;26505;8378
2020-06-19;1464;27;4;26532;8382
2020-06-20;1473;19;8;26551;8390
2020-06-21;1531;20;7;26571;8397
2020-06-22;1592;21;3;26592;8400
2020-06-23;1626;22;2;26614;8402
2020-06-24;1583;20;3;26634;8405
2020-06-25;1695;27;3;26661;8408
2020-06-26;1700;27;6;26688;8414
2020-06-27;1530;19;2;26707;8416
2020-06-28;1420;17;2;26724;8418
2020-06-29;1384;21;3;26745;8421
2020-06-30;1452;16;2;26761;8423
2020-07-01;1467;19;4;26780;8427
2020-07-02;1462;18;1;26798;8428
2020-07-03;1383;10;1;26808;8429
2020-07-04;1361;15;4;26823;8433
2020-07-05;1493;13;3;26836;8436
2020-07-06;1434;12;2;26848;8438
2020-07-07;1462;10;2;26858;8440
2020-07-08;1423;13;1;26871;8441
2020-07-09;1534;23;1;26894;8442
2020-07-10;1579;15;3;26909;8445
2020-07-11;1389;17;2;26926;8447
2020-07-12;1412;12;2;26938;8449
2020-07-13;1436;19;3;26957;8452
2020-07-14;1469;13;4;26970;8456
2020-07-15;1438;10;1;26980;8457
2020-07-16;1414;10;0;26990;8457
2020-07-17;1472;13;5;27003;8462
2020-07-18;1405;15;5;27018;8467
2020-07-19;1415;20;4;27038;8471
2020-07-20;1532;11;4;27049;8475
2020-07-21;1446;13;3;27062;8478
2020-07-22;1465;7;4;27069;8482
2020-07-23;1509;20;2;27089;8484
2020-07-24;1534;22;5;27111;8489
2020-07-25;1553;9;1;27120;8490
2020-07-26;1467;10;5;27130;8495
2020-07-27;1510;17;3;27147;8498
2020-07-28;1534;14;3;27161;8501
2020-07-29;1478;12;2;27173;8503
2020-07-30;1557;12;2;27185;8505
2020-07-31;1696;11;3;27196;8508
2020-08-01;1556;11;6;27207;8514
2020-08-02;1460;10;3;27217;8517
2020-08-03;1425;8;3;27225;8520
2020-08-04;1424;13;4;27238;8524
2020-08-05;1422;14;0;27252;8524
2020-08-06;1560;15;1;27267;8525
2020-08-07;1562;11;2;27278;8527
2020-08-08;1573;11;2;27289;8529
2020-08-09;1590;19;3;27308;8532
2020-08-10;1741;10;4;27318;8536
2020-08-11;1738;17;2;27335;8538
2020-08-12;1758;23;6;27358;8544
2020-08-13;1696;24;8;27382;8552
2020-08-14;1520;19;2;27401;8554
2020-08-15;1555;24;4;27425;8558
2020-08-16;1506;12;5;27437;8563
2020-08-17;1431;13;5;27450;8568
2020-08-18;1531;19;4;27469;8572
2020-08-19;1473;11;3;27480;8575
2020-08-20;1501;14;8;27494;8583
2020-08-21;1492;21;2;27515;8585
2020-08-22;1442;18;3;27533;8588
2020-08-23;1426;15;4;27548;8592
2020-08-24;1504;13;4;27561;8596
2020-08-25;1416;17;2;27578;8598
2020-08-26;1519;17;7;27595;8605
2020-08-27;1482;23;4;27618;8609
2020-08-28;1526;18;1;27636;8610
2020-08-29;1416;10;3;27646;8613
2020-08-30;1353;19;5;27665;8618
2020-08-31;1426;13;2;27678;8620
